Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC,English_Name
sp,31220,Cisticola anonymus,02.06.2008,,Cisticola anonymus,26364,Chattering Cisticola
sp,31230,Cisticola aridulus,02.06.2008,,Cisticola aridulus,26549,Desert Cisticola
sp,31240,Cisticola brachypterus,02.06.2008,,Cisticola brachypterus,26501,Short-winged Cisticola
sp,31250,Cisticola cantans,02.06.2008,,Cisticola cantans,26348,Singing Cisticola
sp,31260,Cisticola chubbi,02.06.2008,,Cisticola chubbi,26369,Chubb's Cisticola
sp,31270,Cisticola guinea,02.06.2008,,Cisticola dorsti,26498,Dorst's Cisticola
a,31280,Cisticola aberrans emini sensu lato,26.03.2025,Consider using 31281,Cisticola emini,NA,NA
sp,31281,Cisticola aberrans,22.11.2024,Includes Cisticola emini,,26377,Rock-loving Cisticola
sp,31290,Cisticola erythrops,02.06.2008,,Cisticola erythrops,26338,Red-faced Cisticola
sp,31300,Cisticola eximius,02.06.2008,,Cisticola eximius,26565,Black-backed Cisticola
sp,31310,Cisticola galactotes,02.06.2008,,Cisticola galactotes,26439,Rufous-winged Cisticola
sp,31320,Cisticola lateralis,02.06.2008,,Cisticola lateralis,26356,Whistling Cisticola
sp,31330,Cisticola natalensis,02.06.2008,,Cisticola natalensis,26481,Croaking Cisticola
sp,31340,Cisticola robustus,02.06.2008,,Cisticola robustus,26470,Stout Cisticola
sp,31350,Cisticola ruficeps,02.06.2008,,Cisticola ruficeps,26493,Red-pate Cisticola
sp,31360,Cisticola rufus,02.06.2008,,Cisticola rufus,26512,Rufous Cisticola
o,31370,Obsolete code,02.06.2008,Duplicated species; use 26500,Clamator levaillantii,NA,NA
sp,31380,Clytospiza monteiri,02.06.2008,,Clytospiza monteiri,33736,Brown Twinspot
sp,31390,Colius striatus,02.06.2008,,Colius striatus,9806,Speckled Mousebird
sp,31400,Columba arquatrix,02.06.2008,,Columba arquatrix,4470,African Olive Pigeon
sp,31410,Columba delegorguei,02.06.2008,,Columba delegorguei,4502,Eastern Bronze-naped Pigeon
sp,31420,Columba guinea,02.06.2008,,Columba guinea,4443,Speckled Pigeon
sp,31430,Columba unicincta,02.06.2008,,Columba unicincta,4469,Afep Pigeon
sp,31440,Coracias cyanogaster,02.06.2008,,Coracias cyanogaster,10248,Blue-bellied Roller
sp,31450,Coracias naevius,02.06.2008,,Coracias naevia,10229,Purple Roller
sp,31460,Cyanograucalus azureus,02.06.2008,,Coracina azurea,20848,Blue Cuckooshrike
sp,31470,Ceblepyris caesius,02.06.2008,,Coracina caesia,20601,Grey Cuckooshrike
sp,31480,Ceblepyris pectoralis,02.06.2008,,Coracina pectoralis,20600,White-breasted Cuckooshrike
sp,31490,Lanius corvinus,18.10.2024,,Corvinella corvina,22527,Yellow-billed Shrike
sp,31500,Corythaeola cristata,02.06.2008,,Corythaeola cristata,3724,Great Blue Turaco
sp,31510,Cossypha albicapillus,02.06.2008,,Cossypha albicapilla,31352,White-crowned Robin-Chat
sp,31520,Cossypha cyanocampter,02.06.2008,,Cossypha cyanocampter,31380,Blue-shouldered Robin-Chat
sp,31530,Cossyphicula isabellae,07.11.2024,,Cossypha isabellae,31330,Mountain Robin-Chat
sp,31540,Sheppardia polioptera,07.11.2024,,Cossypha polioptera,31439,Grey-winged Robin-Chat
sp,31550,Cossyphicula roberti,02.06.2008,,Cossyphicula roberti,31327,White-bellied Robin-Chat
sp,31560,Synoicus adansonii,30.07.2021,,Coturnix adansonii,1626,Blue Quail
sp,31570,Crecopsis egregia,02.06.2008,,Crecopsis egregia,5782,African Crake
sp,31580,Crinifer piscator,02.06.2008,,Crinifer piscator,3737,Western Plantain-eater
sp,31590,Criniger chloronotus,02.06.2008,,Criniger chloronotus,24598,Eastern Bearded Greenbul
sp,31600,Criniger olivaceus,02.06.2008,,Criniger olivaceus,24607,Yellow-bearded Greenbul
sp,31610,Cuculus clamosus,02.06.2008,,Cuculus clamosus,4322,Black Cuckoo
sp,31620,Cuculus gularis,10.01.2024,Excludes Cuculus optatus and Cuculus lepidus,Cuculus gularis,4336,African Cuckoo
sp,31630,Cuculus solitarius,02.06.2008,,Cuculus solitarius,4327,Red-chested Cuckoo
sp,31640,Cursorius temminckii,02.06.2008,,Cursorius temminckii,6871,Temminck's Courser
sp,31650,Dendropicos elachus,02.06.2008,,Dendropicos elachus,12041,Little Grey Woodpecker
sp,31660,Dendropicos elliotii,02.06.2008,,Dendropicos elliotii,12071,Elliot's Woodpecker
sp,31670,Dendropicos fuscescens,02.06.2008,,Dendropicos fuscescens,12044,Cardinal Woodpecker
sp,31680,Dendropicos gabonensis,02.06.2008,Excludes Dendropicos lugubris,Dendropicos gabonensis,12065,Gabon Woodpecker
sp,31690,Dendropicos goertae,02.06.2008,Excludes Dendropicos spodocephalus,Dendropicos goertae,12078,African Grey Woodpecker
sp,31700,Dendropicos obsoletus,02.06.2008,,Dendropicos obsoletus,12095,Brown-backed Woodpecker
sp,31710,Dendropicos poecilolaemus,02.06.2008,,Dendropicos poecilolaemus,12042,Speckle-breasted Woodpecker
sp,31720,Chloropicus pyrrhogaster,02.06.2008,,Dendropicos pyrrhogaster,12040,Fire-bellied Woodpecker
sp,31730,Chloropicus xantholophus,02.06.2008,,Dendropicos xantholophus,12039,Yellow-crested Woodpecker
sp,31740,Dicrurus atripennis,02.06.2008,,Dicrurus atripennis,21926,Shining Drongo
sp,31750,Dicrurus ludwigii,18.10.2024,Excludes Dicrurus sharpei,Dicrurus ludwigii,21921,Square-tailed Drongo
sp,31760,Dicrurus modestus,02.06.2008,,Dicrurus modestus,21900,Velvet-mantled Drongo
sp,31770,Drymocichla incana,02.06.2008,,Drymocichla incana,26761,Red-winged Grey Warbler
sp,31780,Dryoscopus angolensis,02.06.2008,,Dryoscopus angolensis,20193,Pink-footed Puffback
sp,31790,Dryoscopus gambensis,02.06.2008,,Dryoscopus gambensis,20206,Northern Puffback
sp,31800,Dryoscopus sabini,02.06.2008,,Dryoscopus sabini,20190,Sabine's Puffback
sp,31810,Circaetus spectabilis,26.03.2025,,Dryotriorchis spectabilis,8296,Congo Serpent Eagle
sp,31820,Egretta ardesiaca,02.06.2008,,Egretta ardesiaca,7968,Black Heron
sp,31830,Elanus axillaris,02.06.2008,,Elanus axillaris,8149,Black-shouldered Kite
sp,31840,Elminia albiventris,02.06.2008,,Elminia albiventris,23557,White-bellied Crested Flycatcher
sp,31850,Elminia nigromitrata,02.06.2008,,Elminia nigromitrata,23554,Dusky Crested Flycatcher
sp,31860,Emberiza affinis,02.06.2008,,Emberiza affinis,35010,Brown-rumped Bunting
sp,31870,Emberiza cabanisi,02.06.2008,,Emberiza cabanisi,35015,Cabanis's Bunting
sp,31880,Emberiza flaviventris,02.06.2008,,Emberiza flaviventris,35005,Golden-breasted Bunting
sp,31890,Ephippiorhynchus senegalensis,02.06.2008,,Ephippiorhynchus senegalensis,7648,Saddle-billed Stork
sp,31900,Eremomela badiceps,02.06.2008,,Eremomela badiceps,27039,Rufous-crowned Eremomela
sp,31910,Eremomela canescens,02.06.2008,,Eremomela canescens,27016,Green-backed Eremomela
sp,31920,Eremomela icteropygialis,22.11.2024,Includes Eremomela salvadorii no longer recognized as a species,Eremomela icteropygialis,26997,Yellow-bellied Eremomela
sp,31930,Eremomela pusilla,02.06.2008,,Eremomela pusilla,27014,Senegal Eremomela
sp,31940,Eremopterix leucotis,02.06.2008,,Eremopterix leucotis,24050,Chestnut-backed Sparrow-Lark
sp,31950,Erythrocercus mccallii,02.06.2008,,Erythrocercus mccallii,25581,Chestnut-capped Flycatcher
sp,31960,Glaucestrilda caerulescens,02.06.2008,,Estrilda caerulescens,33585,Lavender Waxbill
sp,31970,Estrilda nonnula,02.06.2008,,Estrilda nonnula,33591,Black-crowned Waxbill
