Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC,English_Name
a,00000,Unknown species,02.06.2008,,Species unknown,NA,NA
sp,00010,Struthio camelus,02.06.2008,,Struthio camelus,1,Common Ostrich
sp,00020,Gavia stellata,02.06.2008,,Gavia stellata,7293,Red-throated Loon
o,00021,Gavia stellata stellata,14.11.2023,Obsolete code. Monotypic species in the current classification.,Gavia stellata stellata,NA,NA
o,00022,Gavia stellata squamata,14.11.2023,Obsolete code. Subspecies no longer recognized.,Gavia stellata squamata,NA,NA
sp,00030,Gavia arctica,02.06.2008,,Gavia arctica,7294,Black-throated Loon
ssp,00031,Gavia arctica arctica,20.07.2009,,Gavia arctica arctica,7295,NA
ssp,00032,Gavia arctica viridigularis,20.07.2009,,Gavia arctica viridigularis,7296,NA
sp,00033,Gavia pacifica,14.11.2023,,Gavia arctica pacifica,7297,Pacific Loon
sp,00040,Gavia immer,02.06.2008,,Gavia immer,7299,Common Loon
sp,00050,Gavia adamsii,02.06.2008,,Gavia adamsii,7300,Yellow-billed Loon
a,00059,Gavia sp.,02.06.2008,,Gavia sp.,NA,NA
sp,00060,Podilymbus podiceps,02.06.2008,,Podilymbus podiceps,6218,Pied-billed Grebe
sp,00070,Tachybaptus ruficollis,02.06.2008,,Tachybaptus ruficollis,6191,Little Grebe
sp,00080,Tachybaptus dominicus,02.06.2008,,Tachybaptus dominicus,6212,Least Grebe
sp,00090,Podiceps cristatus,02.06.2008,,Podiceps cristatus,6236,Great Crested Grebe
sp,00100,Podiceps grisegena,02.06.2008,,Podiceps grisegena,6233,Red-necked Grebe
sp,00110,Podiceps auritus,02.06.2008,,Podiceps auritus,6240,Horned Grebe
sp,00120,Podiceps nigricollis,02.06.2008,,Podiceps nigricollis,6243,Black-necked Grebe
a,00129,Podicipedidae sp.,14.11.2023,Extent of code has changed over time. All former Podiceps species were included.,Podiceps sp.,NA,NA
sp,00130,Aechmophorus occidentalis,14.11.2023,Excludes Aechmophorus clarkii,Aechmophorus occidentalis,6256,Western Grebe
sp,00140,Thalassarche melanophris,02.06.2008,,Diomedea melanophris,7410,Black-browed Albatross
a,00150,Thalassarche chlororhynchos/carteri,02.06.2008,,Diomedea chlororhynchos,NA,NA
sp,00151,Thalassarche chlororhynchos,14.11.2023,Excludes Thalassarche carteri,Thalassarche chlororhynchos,7393,Atlantic Yellow-nosed Albatross
sp,00152,Thalassarche carteri,17.01.2019,Formerly Diomedea chlororhynchos bassi,Thalassarche carteri,7395,Indian Yellow-nosed Albatross
sp,00160,Thalassarche cauta,02.06.2008,,Diomedea cauta,7402,Shy Albatross
sp,00170,Phoebastria nigripes,02.06.2008,,Diomedea nigripes,7389,Black-footed Albatross
sp,00180,Phoebastria immutabilis,02.06.2008,,Diomedea immutabilis,7388,Laysan Albatross
sp,00190,Phoebastria albatrus,02.06.2008,,Diomedea albatrus,7390,Short-tailed Albatross
a,00200,Diomedea exulans sensu lato,14.11.2023,Includes Diomedea dabbenena,Diomedea exulans,NA,NA
sp,00201,Diomedea exulans,14.11.2023,Excludes Diomedea dabbenena,,7377,Snowy Albatross
a,00210,Macronectes sp.,17.01.2019,,Macronectes giganteus,NA,NA
sp,00211,Macronectes giganteus,17.01.2019,,Macronectes giganteus s.s.,7444,Southern Giant Petrel
sp,00212,Macronectes halli,17.01.2019,Formerly Macronectes giganteus halli ,Macronectes halli,7445,Northern Giant Petrel
sp,00220,Fulmarus glacialis,02.06.2008,,Fulmarus glacialis,7446,Northern Fulmar
ssp,00221,Fulmarus glacialis glacialis,02.06.2008,,Fulmarus glacialis glacialis,7447,NA
sp,00230,Daption capense,02.06.2008,,Daption capense,7453,Pintado Petrel
sp,00240,Pterodroma arminjoniana,02.06.2008,,Pterodroma arminjoniana,7511,Trindade Petrel
sp,00250,Pterodroma neglecta,02.06.2008,,Pterodroma neglecta,7506,Kermadec Petrel
a,00260,Pterodroma mollis sensu lato,14.11.2023,Soft-plumaged Petrel species; Includes Pterdoroma madeira; Pterdoroma feae; Pterdoroma deserta,Pterodroma mollis/feae/madeira,NA,NA
sp,00261,Pterodroma mollis,30.01.2012,Soft-plumaged petrel. Formerly Pterodroma madeira mollis,Pterodroma mollis,7488,Soft-plumaged Petrel
a,00262,Pterodroma feae sensu lato,14.11.2023,Fea's Petrel. Formerly Pterodroma madeira feae. Includes Pterodroma deserta,Pterodroma feae,NA,NA
sp,00263,Pterodroma madeira,30.01.2012,Zino's Petrel. Formerly Pterodroma madeira madeira,Pterodroma madeira,7491,Zino's Petrel
sp,00264,Pterodroma feae,14.11.2023,Excludes Pterodroma deserta; Pterodroma madeira,,7493,Fea's Petrel
sp,00270,Pterodroma inexpectata,02.06.2008,,Pterodroma inexpectata,7520,Mottled Petrel
sp,00280,Pterodroma solandri,02.06.2008,,Pterodroma solandri,7485,Providence Petrel
sp,00290,Pterodroma hasitata,02.06.2008,,Pterodroma hasitata,7498,Black-capped Petrel
sp,00300,Pterodroma hypoleuca,02.06.2008,,Pterodroma hypoleuca,7525,Bonin Petrel
sp,00310,Pterodroma cookii,02.06.2008,,Pterodroma cookii,7532,Cook's Petrel
sp,00320,Pterodroma longirostris,02.06.2008,,Pterodroma longirostris,7534,Stejneger's Petrel
sp,00330,Pterodroma leucoptera,02.06.2008,,Pterodroma leucoptera,7526,Gould's Petrel
sp,00340,Bulweria bulwerii,02.06.2008,,Bulweria bulwerii,7633,Bulwer's Petrel
sp,00350,Bulweria fallax,02.06.2008,,Bulweria fallax,7635,Jouanin's Petrel
a,00360,Calonectris diomedea sensu lato,14.11.2023,Includes Calonectris diomedea and Calonectris borealis,Calonectris diomedea,NA,NA
sp,00361,Calonectris borealis,14.11.2023,,Calonectris diomedea borealis,7556,Cory's Shearwater
sp,00362,Calonectris edwardsii,19.03.2012,,Calonectris edwardsii,7560,Cape Verde Shearwater
sp,00363,Calonectris diomedea,,Excludes Calonectris borealis,,7558,Scopoli's Shearwater
sp,00370,Calonectris leucomelas,02.06.2008,,Calonectris leucomelas,7555,Streaked Shearwater
sp,00380,Ardenna carneipes,02.06.2008,,Puffinus carneipes,7569,Flesh-footed Shearwater
sp,00390,Ardenna creatopus,02.06.2008,,Puffinus creatopus,7568,Pink-footed Shearwater
sp,00400,Ardenna gravis,02.06.2008,,Puffinus gravis,7570,Great Shearwater
sp,00410,Ardenna pacifica,02.06.2008,,Puffinus pacificus,7562,Wedge-tailed Shearwater
sp,00420,Ardenna bulleri,02.06.2008,,Puffinus bulleri,7565,Buller's Shearwater
sp,00430,Ardenna grisea,02.06.2008,,Puffinus griseus,7566,Sooty Shearwater
sp,00440,Ardenna tenuirostris,02.06.2008,,Puffinus tenuirostris,7567,Short-tailed Shearwater
sp,00450,Puffinus nativitatis,02.06.2008,,Puffinus nativitatis,7571,Christmas Shearwater
a,00460,Puffinus puffinus sensu lato,14.11.2023,Includes Puffinus yelkouan; Puffinus mauretanicus,Puffinus puffinus,NA,NA
sp,00461,Puffinus puffinus,14.11.2023,Includes Puffinus puffinus canariensis. Excludes Puffinus yelkouan; Puffinus mauretanicus,Puffinus puffinus puffinus,7572,Manx Shearwater
sp,00462,Puffinus yelkouan,02.06.2008,,Puffinus puffinus yelkouan,7575,Yelkouan Shearwater
sp,00463,Puffinus mauretanicus,02.06.2008,,Puffinus puffinus mauretanicus,7577,Balearic Shearwater
sp,00470,Puffinus auricularis,02.06.2008,,Puffinus auricularis,7582,Townsend's Shearwater
a,00480,Puffinus assimilis sensu lato,14.11.2023,Includes Puffinus baroli; Puffinus boydi and Puffinus bannermani,Puffinus assimilis,NA,NA
sp,00481,Puffinus assimilis,14.11.2023,Excludes Puffinus baroli; Puffinus boydi and Puffinus bannermani,Puffinus assimilis assimilis,7609,Little Shearwater
sp,00482,Puffinus baroli,02.06.2008,,Puffinus assimilis baroli,7616,Barolo Shearwater
sp,00483,Puffinus boydi,14.11.2023,,Puffinus assimilis boydi,7618,Boyd's Shearwater
sp,00484,Puffinus persicus,02.06.2008,,Puffinus assimilis persicus,7593,Persian Shearwater
sp,00485,Puffinus bannermani,02.06.2008,,Puffinus assimilis bannermani,7605,Bannerman's Shearwater
sp,00490,Puffinus lherminieri,14.11.2023,Excludes Puffinus boydi,Puffinus lherminieri,7590,Sargasso Shearwater
sp,00491,Puffinus bailloni,07.07.2014,Tropical shearwater,Puffinus bailloni,7596,Tropical Shearwater
o,00499,Puffinus/Ardenna,14.11.2023,Not monophyletic and thus of low taxonomic meaning. The use of this code is not recommended.,Puffinus sp.,NA,NA
sp,00500,Oceanites oceanicus,02.06.2008,,Oceanites oceanicus,7340,Wilson's Storm Petrel
sp,00510,Pelagodroma marina,02.06.2008,,Pelagodroma marina,7351,White-faced Storm Petrel
sp,00520,Hydrobates pelagicus,02.06.2008,,Hydrobates pelagicus,7414,European Storm Petrel
ssp,00521,Hydrobates pelagicus pelagicus,02.06.2008,,Hydrobates pelagicus pelagicus,7415,NA
ssp,00522,Hydrobates pelagicus melitensis,02.06.2008,,Hydrobates pelagicus melitensis,7416,NA
sp,00530,Hydrobates microsoma,14.11.2023,,Halocyptena microsoma,7443,Least Storm Petrel
sp,00540,Hydrobates furcatus,14.11.2023,,Oceanodroma furcata,7417,Fork-tailed Storm Petrel
sp,00550,Hydrobates leucorhous,30.07.2021,,Oceanodroma leucorhoa,7423,Leach's Storm Petrel
sp,00560,Hydrobates monorhis,30.07.2021,,Oceanodroma monorhis,7421,Swinhoe's Storm Petrel
sp,00570,Hydrobates homochroa,14.11.2023,,Oceanodroma homochroa,7431,Ashy Storm Petrel
a,00580,Hydrobates castro sensu lato,14.11.2023,Includes Hydrobates monteiroi,Oceanodroma castro,NA,NA
sp,00581,Hydrobates monteiroi,14.11.2023,Monteiro's Storm Petrel,Oceanodroma monteiroi,7433,Monteiro's Storm Petrel
sp,00582,Hydrobates castro,14.11.2023,Excludes Hydrobates monteiroi,,7432,Band-rumped Storm Petrel
sp,00590,Hydrobates tethys,14.11.2023,,Oceanodroma tethys,7436,Wedge-rumped Storm Petrel
sp,00600,Hydrobates melania,14.11.2023,,Oceanodroma melania,7439,Black Storm Petrel
sp,00610,Hydrobates matsudairae,14.11.2023,,Oceanodroma matsudairae,7422,Matsudaira's Storm Petrel
sp,00620,Hydrobates macrodactylus,14.11.2023,,Oceanodroma macrodactyla,7440,Guadalupe Storm Petrel
sp,00630,Hydrobates tristrami,14.11.2023,,Oceanodroma tristrami,7442,Tristram's Storm Petrel
a,00639,Hydrobates sp.,14.11.2023,Extent of code has changed over time. All former Oceanodroma species were included.,Oceanodroma sp.,NA,NA
sp,00640,Phaethon aethereus,02.06.2008,,Phaethon aethereus,7277,Red-billed Tropicbird
sp,00650,Phaethon rubricauda,02.06.2008,,Phaethon rubricauda,7281,Red-tailed Tropicbird
sp,00660,Phaethon lepturus,02.06.2008,,Phaethon lepturus,7286,White-tailed Tropicbird
sp,00670,Sula sula,02.06.2008,,Sula sula,7689,Red-footed Booby
sp,00680,Sula dactylatra,02.06.2008,,Sula dactylatra,7699,Masked Booby
sp,00690,Sula nebouxii,02.06.2008,,Sula nebouxii,7706,Blue-footed Booby
sp,00700,Sula leucogaster,22.11.2024,Excludes Sula brewsteri,Sula leucogaster,7693,Brown Booby
sp,00710,Morus bassanus,02.06.2008,,Sula bassana,7686,Northern Gannet
sp,00712,Morus capensis,02.06.2008,,Sula bassana capensis,7687,Cape Gannet
sp,00720,Phalacrocorax carbo,02.06.2008,,Phalacrocorax carbo,7755,Great Cormorant
ssp,00721,Phalacrocorax carbo carbo,02.06.2008,,Phalacrocorax carbo carbo,7756,NA
ssp,00722,Phalacrocorax carbo sinensis,02.06.2008,,Phalacrocorax carbo sinensis,7757,NA
sp,00730,Phalacrocorax capillatus,02.06.2008,,Phalacrocorax capillatus,7754,Japanese Cormorant
sp,00740,Urile perspicillatus,14.11.2023,Extinct,Phalacrocorax perspicillatus,7739,Spectacled Cormorant
sp,00750,Urile pelagicus,14.11.2023,,Phalacrocorax pelagicus,7736,Pelagic Cormorant
sp,00760,Urile urile,14.11.2023,,Phalacrocorax urile,7735,Red-faced Cormorant
sp,00770,Urile penicillatus,14.11.2023,,Phalacrocorax penicillatus,7734,Brandt's Cormorant
sp,00780,Nannopterum auritum,30.07.2021,,Phalacrocorax auritus,7771,Double-crested Cormorant
sp,00790,Nannopterum brasilianum,14.11.2023,,Phalacrocorax olivaceus,7768,Neotropic Cormorant
sp,00800,Gulosus aristotelis,30.07.2021,,Phalacrocorax aristotelis,7763,European Shag
ssp,00801,Gulosus aristotelis aristotelis,30.07.2021,,Phalacrocorax aristotelis aristotelis,7764,NA
ssp,00802,Gulosus aristotelis desmarestii,30.07.2021,,Phalacrocorax aristotelis desmarestii,7766,NA
sp,00810,Phalacrocorax nigrogularis,02.06.2008,,Phalacrocorax nigrogularis,7741,Socotra Cormorant
sp,00820,Microcarbo pygmaeus,02.06.2008,,Phalacrocorax pygmeus,7722,Pygmy Cormorant
sp,00830,Microcarbo africanus,02.06.2008,,Phalacrocorax africanus,7723,Reed Cormorant
sp,00840,Microcarbo niger,02.06.2008,,Phalacrocorax niger,7728,Little Cormorant
a,00849,Phalacrocoracidae sp.,02.06.2008,,Phalacrocorax sp.,NA,NA
sp,00850,Anhinga anhinga,02.06.2008,,Anhinga anhinga,7710,Anhinga
sp,00860,Anhinga melanogaster,02.06.2008,,Anhinga melanogaster,7716,Oriental Darter
sp,00870,Pelecanus erythrorhynchos,02.06.2008,,Pelecanus erythrorhynchos,8100,American White Pelican
sp,00880,Pelecanus onocrotalus,02.06.2008,,Pelecanus onocrotalus,8093,Great White Pelican
sp,00890,Pelecanus crispus,02.06.2008,,Pelecanus crispus,8097,Dalmatian Pelican
sp,00900,Pelecanus rufescens,02.06.2008,,Pelecanus rufescens,8094,Pink-backed Pelican
sp,00910,Pelecanus occidentalis,02.06.2008,,Pelecanus occidentalis,8101,Brown Pelican
a,00919,Pelecanidae sp.,02.06.2008,,Pelecanus sp.,NA,NA
sp,00920,Fregata minor,02.06.2008,,Fregata minor,7678,Great Frigatebird
sp,00930,Fregata magnificens,02.06.2008,,Fregata magnificens,7668,Magnificent Frigatebird
sp,00940,Fregata ariel,02.06.2008,,Fregata ariel,7673,Lesser Frigatebird
sp,00950,Botaurus stellaris,02.06.2008,,Botaurus stellaris,7894,Eurasian Bittern
sp,00960,Botaurus lentiginosus,02.06.2008,,Botaurus lentiginosus,7898,American Bittern
sp,00970,Botaurus exilis,22.11.2024,,Ixobrychus exilis,7903,Least Bittern
sp,00980,Botaurus minutus,22.11.2024,,Ixobrychus minutus,7917,Little Bittern
sp,00990,Botaurus sinensis,22.11.2024,,Ixobrychus sinensis,7921,Yellow Bittern
sp,01000,Botaurus eurhythmus,22.11.2024,,Ixobrychus eurhythmus,7915,Von Schrenck's Bittern
sp,01010,Botaurus cinnamomeus,22.11.2024,,Ixobrychus cinnamomeus,7914,Cinnamon Bittern
sp,01020,Botaurus sturmii,22.11.2024,,Ardeirallus sturmii,7916,Dwarf Bittern
sp,01030,Gorsachius goisagi,02.06.2008,,Gorsachius goisagi,7953,Japanese Night Heron
sp,01040,Nycticorax nycticorax,02.06.2008,,Nycticorax nycticorax,7934,Black-crowned Night Heron
sp,01050,Nycticorax caledonicus,02.06.2008,,Nycticorax caledonicus,7943,Nankeen Night Heron
sp,01060,Nyctanassa violacea,02.06.2008,,Nycticorax violaceus,7926,Yellow-crowned Night Heron
a,01070,Butorides virescens sensu lato,26.03.2025,Excludes Butorides striata and Butorides sundevalli; but includes Butorides atricapilla,Butorides striatus,NA,NA
sp,01071,Butorides virescens,26.03.2025,Excludes Butorides striata; Butorides sundevalli and Butorides atricapilla,,8028,Green Heron
sp,01072,Butorides atricapilla,26.03.2025,,,7993,Little Heron
sp,01080,Ardeola ralloides,02.06.2008,,Ardeola ralloides,8035,Squacco Heron
sp,01090,Ardeola grayii,02.06.2008,,Ardeola grayii,8039,Indian Pond Heron
sp,01100,Ardeola bacchus,02.06.2008,,Ardeola bacchus,8040,Chinese Pond Heron
sp,01110,Ardea ibis,22.11.2024,,Bubulcus ibis,8059,Western Cattle Egret
sp,01120,Egretta caerulea,02.06.2008,,Hydranassa caerulea,7958,Little Blue Heron
sp,01130,Egretta tricolor,02.06.2008,,Hydranassa tricolor,7959,Tricolored Heron
sp,01140,Egretta rufescens,02.06.2008,,Hydranassa rufescens,7964,Reddish Egret
sp,01150,Egretta thula,02.06.2008,,Egretta thula,7973,Snowy Egret
sp,01160,Egretta eulophotes,02.06.2008,,Egretta eulophotes,7972,Chinese Egret
sp,01170,Egretta sacra,02.06.2008,,Egretta sacra,7969,Pacific Reef Heron
sp,01180,Egretta gularis,02.06.2008,,Egretta gularis,7982,Western Reef Heron
ssp,01181,Egretta gularis gularis,02.06.2008,,Egretta gularis gularis,7983,NA
ssp,01182,Egretta gularis schistacea,02.06.2008,,Egretta gularis schistacea,7984,NA
sp,01190,Egretta garzetta,02.06.2008,,Egretta garzetta,7976,Little Egret
sp,01200,Ardea intermedia,02.06.2008,,Egretta intermedia,8055,Medium Egret
sp,01210,Ardea alba,02.06.2008,,Egretta alba,8045,Great Egret
a,01219,Egretta sp.,14.11.2023,Extent of code has changed over time. Ardea alba; Ardea intermedia were included.,Egretta sp.,NA,NA
sp,01220,Ardea cinerea,02.06.2008,,Ardea cinerea,8064,Grey Heron
sp,01230,Ardea herodias,02.06.2008,,Ardea herodias,8069,Great Blue Heron
sp,01240,Ardea purpurea,02.06.2008,,Ardea purpurea,8077,Purple Heron
sp,01248,Ardea insignis,45809,,,8083,White-bellied Heron
sp,01250,Ardea goliath,02.06.2008,,Ardea goliath,8088,Goliath Heron
a,01259,Ardea sp.,14.11.2023,Extent of code has changed over time. Ardea alba and Ardea intermedia were excluded.,Ardea sp.,NA,NA
sp,01260,Scopus umbretta,02.06.2008,,Scopus umbretta,8089,Hamerkop
sp,01270,Mycteria americana,02.06.2008,,Mycteria americana,7643,Wood Stork
sp,01280,Mycteria leucocephala,02.06.2008,,Mycteria leucocephala,7645,Painted Stork
sp,01290,Mycteria ibis,02.06.2008,,Mycteria ibis,7644,Yellow-billed Stork
sp,01300,Anastomus oscitans,02.06.2008,,Anastomus oscitans,7639,Asian Openbill
sp,01310,Ciconia nigra,02.06.2008,,Ciconia nigra,7660,Black Stork
sp,01320,Ciconia abdimii,02.06.2008,,Ciconia abdimii,7652,Abdim's Stork
sp,01330,Ciconia episcopus,02.06.2008,,Ciconia episcopus,7655,Asian Woolly-necked Stork
sp,01340,Ciconia ciconia,02.06.2008,,Ciconia ciconia,7662,White Stork
a,01349,Ciconia sp.,02.06.2008,,Ciconia sp.,NA,NA
sp,01350,Leptoptilos crumenifer,02.06.2008,,Leptoptilos crumeniferus,7640,Marabou Stork
sp,01360,Plegadis falcinellus,02.06.2008,,Plegadis falcinellus,7861,Glossy Ibis
sp,01370,Plegadis chihi,02.06.2008,,Plegadis chihi,7862,White-faced Ibis
sp,01380,Eudocimus albus,02.06.2008,,Eudocimus albus,7857,American White Ibis
sp,01390,Eudocimus ruber,02.06.2008,,Eudocimus ruber,7860,Scarlet Ibis
sp,01400,Geronticus eremita,02.06.2008,,Geronticus eremita,7827,Northern Bald Ibis
sp,01410,Nipponia nippon,02.06.2008,,Nipponia nippon,7829,Crested Ibis
sp,01420,Threskiornis aethiopicus,02.06.2008,,Threskiornis aethiopicus,7809,African Sacred Ibis
sp,01430,Threskiornis melanocephalus,02.06.2008,,Threskiornis melanocephalus,7815,Black-headed Ibis
sp,01440,Platalea leucorodia,02.06.2008,,Platalea leucorodia,7867,Eurasian Spoonbill
sp,01450,Platalea minor,02.06.2008,,Platalea minor,7871,Black-faced Spoonbill
sp,01460,Platalea ajaja,02.06.2008,,Platalea ajaja,7876,Roseate Spoonbill
a,01470,Phoenicopterus ruber sensu lato,14.11.2023,Includes Phoenicopterus roseus,Phoenicopterus ruber,NA,NA
sp,01471,Phoenicopterus ruber,14.11.2023,Excludes Phoenicopterus roseus,Phoenicopterus ruber ruber,6264,American Flamingo
sp,01472,Phoenicopterus roseus,02.06.2008,,Phoenicopterus ruber roseus,6262,Greater Flamingo
sp,01480,Phoeniconaias minor,02.06.2008,,Phoenicopterus minor,6268,Lesser Flamingo
sp,01490,Dendrocygna bicolor,02.06.2008,,Dendrocygna bicolor,234,Fulvous Whistling Duck
sp,01500,Dendrocygna arborea,02.06.2008,,Dendrocygna arborea,233,West Indian Whistling Duck
sp,01510,Dendrocygna autumnalis,02.06.2008,,Dendrocygna autumnalis,229,Black-bellied Whistling Duck
sp,01520,Cygnus olor,02.06.2008,,Cygnus olor,300,Mute Swan
sp,01530,Cygnus columbianus,02.06.2008,,Cygnus columbianus,302,Tundra Swan
ssp,01531,Cygnus columbianus columbianus,02.06.2008,,Cygnus columbianus columbianus,303,NA
ssp,01532,Cygnus columbianus bewickii,02.06.2008,,Cygnus columbianus bewickii,305,NA
sp,01540,Cygnus cygnus,02.06.2008,,Cygnus cygnus,306,Whooper Swan
sp,01550,Cygnus buccinator,02.06.2008,,Cygnus buccinator,301,Trumpeter Swan
a,01559,Cygnus sp.,02.06.2008,,Cygnus sp.,NA,NA
sp,01560,Anser cygnoides,02.06.2008,,Anser cygnoides,278,Swan Goose
a,01569,Anserinae sp.,07.07.2014,Goose species,Anser spp / Branta spp.,NA,NA
a,01570,Anser fabalis sensu lato,10.01.2024,Includes Anser serrirostris,Anser fabalis,NA,NA
ssp,01571,Anser fabalis fabalis,10.01.2024,,Anser fabalis fabalis,280,NA
ssp,01572,Anser fabalis johanseni,10.01.2024,,Anser fabalis jonanseni,281,NA
o,01573,Obsolete code,10.01.2024,Species or subspecies not recognized / extinct.,Anser fabalis neglecticus,NA,NA
sp,01574,Anser serrirostris,02.06.2008,,Anser fabalis rossicus,286,Tundra Bean Goose
sp,01575,Anser fabalis,10.01.2024,Excludes Anser serrirostris,,279,Taiga Bean Goose
sp,01580,Anser brachyrhynchus,02.06.2008,,Anser brachyrhynchus,284,Pink-footed Goose
sp,01590,Anser albifrons,02.06.2008,,Anser albifrons,289,Greater White-fronted Goose
ssp,01591,Anser albifrons albifrons,02.06.2008,,Anser albifrons albifrons,291,NA
ssp,01592,Anser albifrons flavirostris,02.06.2008,,Anser albifrons flavirostris,290,NA
sp,01600,Anser erythropus,02.06.2008,,Anser erythropus,296,Lesser White-fronted Goose
sp,01610,Anser anser,02.06.2008,,Anser anser,275,Greylag Goose
ssp,01611,Anser anser anser,09.11.2009,,Anser anser anser,276,NA
ssp,01612,Anser anser rubrirostris,09.11.2009,,Anser anser rubrirostris,277,NA
f,01613,Anser anser var. domestica,09.11.2009,,Anser anser domestica,NA,NA
sp,01620,Anser indicus,02.06.2008,,Anser indicus,269,Bar-headed Goose
sp,01630,Anser caerulescens,02.06.2008,,Anser caerulescens,272,Snow Goose
ssp,01631,Anser caerulescens caerulescens,02.06.2008,,Anser caerulescens caerulescens,273,NA
ssp,01632,Anser caerulescens atlanticus,02.06.2008,,Anser caerulescens atlanticus,274,NA
sp,01640,Anser rossii,02.06.2008,,Anser rossii,271,Ross's Goose
sp,01650,Anser canagicus,02.06.2008,,Anser canagicus,270,Emperor Goose
a,01659,Anser sp.,02.06.2008,,Anser spp.,NA,NA
sp,01660,Branta canadensis,10.01.2024,Excludes Branta hutchinsii,Branta canadensis,254,Canada Goose
ssp,01661,Branta canadensis canadensis,02.06.2008,,Branta canadensis canadensis,261,NA
ssp,01662,Branta canadensis occidentalis,02.06.2008,,Branta canadensis occidentalis,255,NA
ssp,01663,Branta canadensis parvipes,02.06.2008,,Branta canadensis parvipes,258,NA
ssp,01664,Branta hutchinsii hutchinsii,02.06.2008,,Branta canadensis hutchinsii,268,NA
ssp,01665,Branta hutchinsii leucopareia,10.01.2024,Includes extinct asiatica,Branta canadensis asiatica,264,NA
sp,01666,Branta hutchinsii,10.01.2024,,,263,Cackling Goose
sp,01670,Branta leucopsis,02.06.2008,,Branta leucopsis,262,Barnacle Goose
sp,01680,Branta bernicla,02.06.2008,,Branta bernicla,247,Brant Goose
ssp,01681,Branta bernicla bernicla,02.06.2008,,Branta bernicla bernicla,250,NA
ssp,01682,Branta bernicla hrota,02.06.2008,,Branta bernicla hrota,251,NA
ssp,01683,Branta bernicla nigricans,02.06.2008,,Branta bernicla nigricans,248,NA
sp,01690,Branta ruficollis,02.06.2008,,Branta ruficollis,252,Red-breasted Goose
a,01699,Branta sp.,02.06.2008,,Branta sp.,NA,NA
sp,01700,Alopochen aegyptiaca,02.06.2008,,Alopochen aegyptiacus,330,Egyptian Goose
sp,01710,Tadorna ferruginea,02.06.2008,,Tadorna ferruginea,347,Ruddy Shelduck
sp,01720,Tadorna cristata,02.06.2008,,Tadorna cristata,351,Crested Shelduck
sp,01730,Tadorna tadorna,02.06.2008,,Tadorna tadorna,346,Common Shelduck
sp,01740,Plectropterus gambensis,02.06.2008,,Plectropterus gambensis,322,Spur-winged Goose
sp,01750,Cairina moschata,02.06.2008,,Cairina moschata,354,Muscovy Duck
sp,01760,Nettapus coromandelianus,02.06.2008,,Nettapus coromandelianus,362,Cotton Pygmy Goose
sp,01770,Aix sponsa,02.06.2008,,Aix sponsa,357,Wood Duck
sp,01780,Aix galericulata,02.06.2008,,Aix galericulata,358,Mandarin Duck
sp,01790,Mareca penelope,02.06.2008,,Anas penelope,399,Eurasian Wigeon
sp,01800,Mareca americana,02.06.2008,,Anas americana,401,American Wigeon
sp,01810,Mareca falcata,02.06.2008,,Anas falcata,398,Falcated Duck
sp,01820,Mareca strepera,02.06.2008,,Anas strepera,395,Gadwall
sp,01830,Sibirionetta formosa,02.06.2008,,Anas formosa,374,Baikal Teal
sp,01840,Anas crecca,02.06.2008,,Anas crecca,448,Eurasian Teal
o,01841,Anas crecca crecca,10.01.2024,Obsolete code. Monotypic species.,Anas crecca crecca,NA,NA
sp,01842,Anas carolinensis,02.06.2008,,Anas crecca carolinensis,451,Green-winged Teal
o,01843,Anas crecca nimia,10.01.2024,Obsolete code. Subspecies no longer recognized.,Anas crecca nimia,NA,NA
sp,01850,Anas capensis,02.06.2008,,Anas capensis,433,Cape Teal
sp,01860,Anas platyrhynchos,02.06.2008,,Anas platyrhynchos,424,Mallard
ssp,01861,Anas platyrhynchos platyrhynchos,09.11.2009,,Anas platyrhynchos platyrhynchos,425,NA
ssp,01862,Anas platyrhynchos conboschas,09.11.2009,,Anas platyrhynchos conboschas,426,NA
f,01863,Anas platyrhynchos var. domestica,10.01.2024,,Anas platyrhynchos domestica,NA,NA
sp,01870,Anas rubripes,02.06.2008,,Anas rubripes,430,American Black Duck
sp,01880,Anas poecilorhyncha,02.06.2008,,Anas poecilorhyncha,419,Indian Spot-billed Duck
sp,01890,Anas acuta,02.06.2008,,Anas acuta,446,Northern Pintail
sp,01900,Anas bahamensis,02.06.2008,,Anas bahamensis,434,White-cheeked Pintail
sp,01910,Spatula querquedula,02.06.2008,,Anas querquedula,375,Garganey
sp,01920,Spatula discors,02.06.2008,,Anas discors,389,Blue-winged Teal
sp,01930,Spatula cyanoptera,02.06.2008,,Anas cyanoptera,383,Cinnamon Teal
sp,01940,Spatula clypeata,02.06.2008,,Anas clypeata,394,Northern Shoveler
a,01949,Anas sp.,02.06.2008,,Anas sp.,NA,NA
sp,01950,Marmaronetta angustirostris,02.06.2008,,Marmaronetta angustirostris,478,Marbled Duck
sp,01960,Netta rufina,02.06.2008,,Netta rufina,480,Red-crested Pochard
sp,01970,Aythya valisineria,02.06.2008,,Aythya valisineria,485,Canvasback
sp,01980,Aythya ferina,02.06.2008,,Aythya ferina,487,Common Pochard
sp,01990,Aythya americana,02.06.2008,,Aythya americana,486,Redhead
sp,02000,Aythya collaris,02.06.2008,,Aythya collaris,495,Ring-necked Duck
