Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,30,,,4,,1,3,2,,0,uniek,9,1,0
103,,,31,,,4,,,18,0,door mij,18,1,0
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
28-05-2023,Bosrietzanger,4,j,Duitsland,90836869,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Zwartkop,3,j,Duitsland,91046643,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Winterkoning,2,j,Duitsland,91046647,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Tjiftjaf,10,,Duitsland,V212879,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,5,,Duitsland,91046697,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Heggenmus,1,j,Duitsland,90837023,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Vink,2,,Duitsland,82288875,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,6,j,Duitsland,90836869,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Merel,5,,Duitsland,7962864,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,6,,Duitsland,91046698,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Zwartkop,4,,Duitsland,91046699,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Tuinfluiter,2,j,Duitsland,90883682,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,7,,Duitsland,91046700,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,8,,Duitsland,91046701,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Tuinfluiter,3,,Duitsland,91046702,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,7,j,Duitsland,91046697,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,8,j,Duitsland,90836869,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,9,,Duitsland,91046703,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Zwartkop,5,,Duitsland,91046704,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Merel,6,j,Duitsland,7960827,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Heggenmus,2,,Duitsland,91046705,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
